대분류,관광지 이름,행정구역,지역,주소,해시 태그,소개,경도,위도,전화번호,예약 링크
관광지,묵리마을,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 묵리,"혼자,커플,친구,휴식/힐링,마을산책,마을관광",조용하면서 평화로운 하추자의 전통어촌 마을,33.94865,126.31429,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/54b5305b-e9d3-4265-a29b-f6c6717c300e.jpg
관광지,삼사석,제주시,제주시내,제주특별자치도 제주시 화북1동 1380-1,"부모,커플,혼자,친구,아이,문화유적지,자연경관,역사유적,어트랙션",제주 삼신인(고.양.부)이 쏘았던 화살이 꽂혔던 돌멩이를 보관한 곳,33.521027,126.5741,064-728-2735,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1ecfaff8-353d-4a0d-a3ee-8024c7086987.jpg
관광지,송령이골,서귀포시,남원,제주특별자치도 서귀포시 남원읍 한신로143번길 99,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",4.사건 당시 토벌대에게 사살된 무장대의 시신이 옮겨진 곳.,33.318977,126.70537,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/11fada5b-01d3-4218-ae6c-dd66d65cb36f.jpg
관광지,별도포구,제주시,제주시내,제주특별자치도 제주시 화북1동 4269-12,"포구,해변,문화유적지,자연경관,역사유적","제주의 관문, 역사 속의 별도포구",33.52501,126.564995,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0bc328fe-e905-46a8-b2b9-78c0dfac6b5b.jpg
관광지,족은사슴이오름,서귀포시,표선,제주특별자치도 서귀포시 표선면 녹산로 536,"부모,커플,혼자,친구,아이,오름,자연경관,도보여행,도보,어린이",자연이 살아숨쉬는 곳,33.3988071,126.7063341,null,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/803651f9-35e0-49ec-85ea-52f66b41d61e.jpg
관광지,풋감마을 소길리 농어촌체험마을,제주시,애월,제주시 애월읍 소길1길 15,"체험관광,친구,커플,흐림,사계절,체험,도보여행,도보,마을산책,마을관광,어트랙션",옛 '올레'길이 그대로 살아 숨쉬는 마을,33.440056,126.380005,064-799-8778,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1929fd36-fbac-414d-aa01-b9d1110b5bbd.png
관광지,원동,제주시,애월,제주특별자치도 제주시 애월읍 소길리 1364 일대,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",1948년 군인들에 의해 마을 주민 30여 명이 집단학살을 당한 곳.,33.402027,126.3803,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ebf6fb32-03a9-4bac-9da3-e3d0f48eef71.jpg
관광지,느지리오름(망오름),제주시,한림,제주특별자치도 제주시 한림읍 상명리 산 5,"맑음,걷기/등산,오름,자연경관,도보여행,도보",한림 16절경 '상명망봉'에 ,33.3653429,126.2613767,null,https://api.cdn.visitjeju.net/photomng/imgpath/201812/19/a809a81b-e7b7-426a-85f8-c242dbc6f9f8.jpg
관광지,만벵듸 공동장지,제주시,한림,제주특별자치도 제주시 한림읍 갯거리오름길 114,"문화유적지,자연경관,문화관광,역사유적,어트랙션",한림지서 예비검속 희생자 유족들이 61구의 시신을 수습하여 안장한 묘역,33.372234,126.2959,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3d2b7694-09e1-43a7-b26c-6ae633e19565.jpg
관광지,굴동포구,제주시,구좌,제주특별자치도 제주시 구좌읍 해맞이해안로,"포구,해변,문화유적지,자연경관,역사유적",토끼섬을 만나러 가는 곳,33.514984,126.88177,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/28e3386a-6142-4cc1-9c3f-bc615079c965.jpg
관광지,댕댕놀이터,제주시,제주시내,제주특별자치도 제주시 도근내길 56,"반려동물,반려동물동반입장,반려동물공간_기타,애견미용실,애견호텔,애견유치원","댕댕놀이터는 내도동에 위치하여 반려동물의 미용, 유치원, 호텔을 운영하는 곳이다.",33.4919382,126.4369959,null,https://api.cdn.visitjeju.net/photomng/imgpath/202212/15/016879d9-ee6a-4cb3-b5cc-c312f625168f.jpg
관광지,동계 정온 유허비,서귀포시,대정,제주특별자치도 서귀포시 대정읍 안성리,"문화유적지,문화관광,역사유적,어트랙션","제주 오현의 한사람, 동계 정온 선생의 유허비",33.250454,126.27403,064-760-2505,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9055a7ba-63aa-481a-a086-da8c4ca2afc7.jpg
관광지,조천만세동산,제주시,조천,제주특별자치도 제주시 조천읍 조천리 1133-2,"문화유적지,봄,문화관광,역사유적","제주 항일운동의 시작점, 순국선열들의 혼이 녹아있는 곳",33.53997,126.64167,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/972d7d66-6d5e-42e5-bac4-d59c8a97eaab.jpg
관광지,렛츠런팜 양귀비꽃,제주시,조천,null,"테마공원,아이,맑음,봄,어린이,어트랙션",렛츠런 팜의 양귀비꽃 핀 모습.,33.41699,126.681465,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/37d9b2be-0533-4a91-bf2f-62e51ddd8ab3.jpg
관광지,제주인디,서귀포시,성산,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,"자연염색,천연염색,체험관광,체험,어트랙션",일출랜드 아트센터 내에 위치한 자연염색 체험관,33.3833933,126.84245,064-782-7654,https://api.cdn.visitjeju.net/photomng/imgpath/201811/12/dad6c89c-2744-4faf-a1b2-e1cc9ebc8bba.jpg
관광지,정의현 일관헌,서귀포시,표선,제주특별자치도 서귀포시 표선면 성읍리 690,"문화유적지,맑음,자연경관,문화관광,역사유적,무장애관광",지방문화재 7호로 지정된 정의 현감이 정사를 보던 곳,33.38825,126.800995,064-760-2505,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1651977f-df94-4cac-8203-468838cd3b4b.jpg
관광지,예초리기정길,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 예초리 산 1,"걷기/등산,자연경관,도보여행,도보",예초리 바닷가를 따라 나 있는 절벽,33.955803,126.33822,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0e2e9279-b38d-493f-a252-99f3446288ed.jpg
관광지,현의합장묘역,서귀포시,남원,제주특별자치도 서귀포시 남원읍 중산간동로 6242-56,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",‘의로운 영혼들이 함께 묻혀 있는 묘’라는 의미의 ‘현의합장묘(顯義合葬墓)’,33.350883,126.69801,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1456c856-30fe-4796-be8d-bc68425712df.jpg
관광지,펌킨 펫하우스 제주신화월드,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"반려동물,반려동물동반입장,반려동물동반_식당카페,애견미용실,애견호텔,반려동물동반_관광지","펌킨 펫하우스 제주신화월드는 강아지 없이도 이용 가능한 애견카페, 미용, 유치원, 호텔까지 반려동물의 천국 같은 곳이다.",33.3017501,126.3206458,064-792-5659,https://api.cdn.visitjeju.net/photomng/imgpath/202212/16/f137c1d8-6976-4b47-8012-f5bcb5800fd1.jpg
관광지,기독교순례길 2코스(순교의길),제주시,한림,제주특별자치도 제주시 한림읍 협재8길 8,"걷기/등산,봄,가을,문화관광,도보여행,도보,어트랙션",중산간의 푸른 들과 농지를 지나는 순교의 길,33.39475,126.2431,-3451,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/91f0d253-a40c-4b62-8fad-716f855cbb21.jpg
관광지,월정퀵서프,제주시,구좌,제주특별자치도 제주시 구좌읍 해맞이해안로 486,"구좌읍, 월정리, 서핑, 이색체험",에메랄드빛 월정해변에서 즐기는 서핑,33.5547934,126.7986457,0507-1426-9025,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/8df43240-4a5a-4c2a-b1fa-f2a9bb4e8b8f.jpg
관광지,남문지못,서귀포시,대정,제주특별자치도 서귀포시 대정읍 인성리 392,"문화유적지,자연경관,문화관광,역사유적",추사의 유배시절 모습을 그린 입석이 세워져 있는 곳,33.24656,126.276405,064-794-2618,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f4a30612-ccad-4b5a-9a86-c26737ce3f4a.jpg
관광지,천지연기정길,서귀포시,서귀포시내,제주특별자치도서귀포시 서귀동 961-33,"폭포,걷기/등산,자연경관,도보여행,도보",천지연 폭포를 눈에 담을 수 있는 길,33.24862824,126.5554081,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/736b02f2-20ee-49ee-8120-df4a9a80defd.jpg
관광지,임문숙 가족 헛묘,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광리 807-4,"4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션",동광육거리 인근 밭에 조성된 희생자 9명의 헛묘,33.30914,126.340614,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c4c36e19-7142-4c97-9eef-d5c35e61d3db.jpg
관광지,제주불교성지 순례길 절로 가는길 - 정진의 길,서귀포시,서귀포시내,제주특별자치도 서귀포시 영실로 246 (하원동),"걷기/등산,맑음,문화관광,도보여행,도보,어트랙션","참나를 찾아 떠나는 길, '수행의 신행'",33.3402,126.47921,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/49c811f0-0490-4650-a6ed-160fa95689de.jpg
관광지,제주 캘리아트,제주시,제주시내,제주특별자치도 제주시 남성로23길 6,"제주시내, 우드버닝체험, 캘리그라피, 이색체험",나를 담아내 더 값진 우드버닝 체험,33.5097314,126.5217403,010-2420-3585,https://api.cdn.visitjeju.net/photomng/imgpath/202306/20/4981e972-1e30-4634-b31d-0fa70039c6d8.jpg
관광지,미띠뽀,서귀포시,서귀포시내,제주특별자치도 서귀포시 신서귀로 3,"향수, 취향, 인센스, 비누, 캔들, 오브제, 러닝홀리데이인제주", 제주를 향기로 담아내는 공간,33.2500246,126.509114,010-8021-0930,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/ee33b035-c4d0-43df-9b42-7fdd84a6021c.jpg
관광지,우도 득성이코지,섬 속의 섬,우도,제주특별자치도 제주시 우도면 연평리,"경관/포토,맑음,자연경관,포토스팟",올레1-1코스,33.50332,126.95568,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/28eb8579-58bd-424e-8bab-0b88c84ff8f5.jpg
관광지,솔티 오렌지,서귀포시,성산,제주특별자치도 서귀포시 성산읍 신산중앙로 36,"체험, 공예, 터프팅, 섬유공예품,원데이클래스, 러닝홀리데이인제주",제주 귤창고를 개조한 솔티 오렌지에서 따뜻포근한 터프팅의 매력을 느껴보자,33.3784681,126.8784858,0507-1498-0926,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/d96518f9-aaec-44e4-96fa-b10d02ee041b.jpg
관광지,제라펫,제주시,제주시내,제주특별자치도 제주시 용담로20길 28,"반려동물,반려동물동반입장,반려동물공간_기타,애견미용실",제라펫은 제주 공항 근처에 위치한 반려견 미용실이다.,33.5078807,126.5134968,null,https://api.cdn.visitjeju.net/photomng/imgpath/202212/15/94399bc4-07db-40bd-bb99-4b16603f1b85.jpg
관광지,백제사,제주시,애월,제주시 애월읍 광령남6길 54 백제사,"실내,문화유적지,흐림,맑음,사계절,문화관광,역사유적,어트랙션",자연친화적인 한국의 사찰문화를 체험할 수 있는 도량이다.,33.448807,126.42422,064-746-8009,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0b181426-b99f-4a34-a51d-7b8711057f40.png
관광지,한남의숙터,서귀포시,대정,제주특별자치도 서귀포시 대정읍 추사로,"문화유적지,문화관광,역사유적,어트랙션",대정지역의 대표적인 3대 의숙 중의 하나로 민족교육을 실시했던 현대교육기관인 한남의숙이 세워졌던 곳,33.251087,126.27711,064-760-2505,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4be81e47-49e2-46e4-b42c-52756aff70e5.jpg
관광지,무릉자전거도로(환상자전거길 3구간),제주시,한경,null,"자전거,환상자전거도로,무릉,신창,해거름마을공원,라이딩,자연경관,체험,언택트,어트랙션,드라이브","해거름마을공원에서부터 송악산까지 이어지는 환상자전거길 3구간은 제주 소규모 어항 중에 가장 핫플레이스인 판포포구, 해상풍차로 해안도로의 아름다움을 더한 신창풍차해안도로, 제주 대표 일몰의 명소 수월봉, 차귀도, 만남의 즐거움을 가진 대정오일시장, 고즈넉한 여유를 가진 송악산까지 다양한 제주의 아름다움을 만나고 즐길 수 있는 코스이다.",null,null,null,https://api.cdn.visitjeju.net/photomng/imgpath/202007/10/cab2e50a-610a-4940-96b1-b76be9ec83b1.jpg
관광지,섬생이,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 신양리 산 87,"휴식/힐링,자연경관",풍경이 아름다운 추자도 남쪽 무인도,33.939816,126.31154,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/34d4c936-709e-48db-a7f8-bd1305bd9248.jpg
관광지,추자등대,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 영흥리 77-3,"등대,경관/포토,맑음,가을,포토스팟",추자 10경의 하나로 상추자도 전경이 조망되는 곳,33.9568,126.297806,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d46383be-0c6f-4d4c-b13f-2842c2fde69d.jpg
관광지,제주 샘주,제주시,애월,제주특별자치도 제주시 애월읍 애원로 283,"애월, 전통주, 오메기술, 이색체험",알고 마시면 더 맛난 제주전통주 체험,33.4102243,126.3758566,064-799-4225,https://api.cdn.visitjeju.net/photomng/imgpath/202306/20/01c36323-f972-467d-ad87-b22b97b460ee.jpg
관광지,제주소리,제주시,제주시내,제주특별자치도 제주시 신대로10길 55,"민요,노래,명창,노동요,러닝홀리데이인제주",제주 민요에 녹아있는 제주 사람들의 이야기,33.4908202,126.4906809,010-9087-2953,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/69d23541-f6de-446f-9df1-442a69c72dc7.jpg
관광지,제주다,제주시,애월,제주특별자치도 제주시 애월읍 납읍남로 65,"체험관광,아이,차,어린이,어트랙션",제주조릿대로 만드는 향긋한 차 체험을 할 수 있는 곳,33.4310983,126.3293946,010-7644-0391,https://api.cdn.visitjeju.net/photomng/imgpath/201811/29/0536ea75-aa3e-4654-8e52-ededbaca7293.jpg
관광지,대수포구,제주시,한림,제주특별자치도 제주시 한림읍 수원리 1027-7,"포구,해변,문화유적지,자연경관,역사유적",비양도가 보이는 작고 아담한 포구,33.426956,126.27057,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5e5e9a70-c1bd-47ea-9421-c96ca1a01282.jpg
관광지,더힐하우스스파,제주시,한림,제주특별자치도 제주시 한림읍 한창로 925-122,"힐링,스파,어트랙션","제주의 청정을 그대로 유지한 자연의 품에 안겨 그 속에서 휴식과 회복, 그로부터 신체 나이를 되돌리는 데 도움을 주는 자연주의 스파, 더힐하우스스파가 바로 그곳이다. 더힐하우스스파는 블랙스톤 골프호텔 단지 내에 위치하고 있으며 편안한 분위기와 현대식 시설을 갖춘 전문 스파다. ",33.355577,126.3056877,064-795-2380,https://api.cdn.visitjeju.net/photomng/imgpath/202010/07/63cccfd1-f566-4aa5-bdee-b96c470384c6.jpg
관광지,중문색달해변(해산물),서귀포시,중문,제주특별자치도 서귀포시 중문관광로72번길 114,"부모,커플,혼자,친구,아이,경관/포토,휴식/힐링,사계절,청년,중/장년,휴식/치유,자연경관,포토스팟,어린이",서퍼들의 천국이라 불릴 만큼 파도가 높아 여름에는 다이나믹한 해수욕을 즐기려는 사람들로 인산인해를 이루는 중문색달해변.,33.24497249,126.4116462,064-760-4993,https://api.cdn.visitjeju.net/photomng/imgpath/201807/04/7948c7eb-345d-4c9a-96cd-5f583d325abb.jpg
관광지,드르쿰다ATV IN 상효,서귀포시,서귀포시내,제주특별자치도 서귀포시 516로 619,"친구,아이,맑음,테마공원,체험관광,액티비티, 서귀포, 상효동, ATV, 곶자왈",곶자왈 품은 숲에서 짜릿한 ATV체험,33.3037607,126.598499,070-8806-5999,https://api.cdn.visitjeju.net/photomng/imgpath/202306/16/0925e9d4-7bb9-4fb4-b9cc-2b8504df074e.jpg
관광지,아띠스떼21,서귀포시,안덕,제주특별자치도 서귀포시 안덕면 동광본동로 14-5,"휴식/힐링,전시와 행사, 그림, 미술, 수채화, 아크릴화, 유화, 러닝홀리데이인제주", 그림을 그리며 행복을 찾는 곳,33.307352,126.3379638,0507-1350-5127,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/49dcdf5e-d614-4610-b14b-59d9ef48044a.jpg
관광지,예초리해변,섬 속의 섬,추차도,제주특별자치도 제주시 추자면 예초리,"해변,경관/포토,커플,혼자,맑음,자연경관,포토스팟",작은예초작지,33.95313,126.33361,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6701657b-2f41-464b-bf63-f24f7dbb7b99.gif
관광지,참굴비조형물,섬 속의 섬,추차도,null,"포토스팟,부모,친구,커플,혼자,휴식,비/바람/눈,안개/흐림,맑음,봄,여름,가을,겨울,중/장년,청년,노년,어트랙션",추자도의 상징인 참굴비 조형물,33.952576,126.30432,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ba79277b-e2cd-4dde-8201-5e44abc7ebed.jpg
관광지,반치옥 사진관,제주시,애월,제주특별자치도 제주시 애월읍 장전로 109-17,"카메라, 사진, 출사, 풍경, 바닷가, 오름, 골목길, 원도심, 러닝홀리데이인제주", 카메라 렌즈를 통해 제주 들여다 보기,33.4521446,126.3892699,010-2771-9911,https://api.cdn.visitjeju.net/photomng/imgpath/202307/26/a871d3c3-5954-4130-8d2e-1737308f0e9d.jpg
관광지,신흥리 동백 & 향나무길,서귀포시,남원,null,"커플,친구,맑음,경관/포토,겨울,청년,휴식/치유,자연경관,체험,도보여행,도보,동백,포토스팟,관광지","동백 시즌에는 초겨울부터 이른 봄까지 많은 이들이 찾는 명소이다. 재래종동백, 애기동백, 카네이션 동백 등 다양한 동백이 우리를 반긴다. 꽃이 피는 시기가 동백마다 다르니 갈 때마다 다른 동백을 만날 수 있다.",null,null,null,https://api.cdn.visitjeju.net/photomng/imgpath/202109/01/16786f18-d226-404c-adab-808928fc4436.JPG
관광지,추억애거리,제주시,제주시내,제주특별자치도 제주시 도공로 3-3,"포토스팟,걷기/휴식",동심을 자극하는벽화와 조형물들이 있는 도두동 추억애(愛)거리.\n,33.505996,126.4657678,null,https://api.cdn.visitjeju.net/photomng/imgpath/201812/19/106788de-e412-49de-912c-c3aa7a068f96.JPG
관광지,궁대오름(궁대악),서귀포시,성산,제주특별자치도 서귀포시 성산읍 금백조로 446,"부모,커플,친구,경관/포토,휴식/힐링,테마공원,오름,사계절,청년,중/장년,휴식/치유,자연경관,도보여행,도보,포토스팟","오름의 모양새가 마치 활처럼 생기고, 오름 허리에 활(궁·弓)자 모양의 띠가 둘러져 있어 궁대오름, 한자로 궁대악(弓帶岳)으로 불리는 오름.\r\n",33.4405616,126.8220889,064-787-4711,https://api.cdn.visitjeju.net/photomng/imgpath/201911/19/1d3d1dd4-41ba-46db-a627-cf393da6c757.JPG
